Enter maximum number of iterations:
        2 terms, S1= 0.216666683554649353 S3= 0.216666668653488159 S1fracerr= 6.877458e-08
        4 terms, S1= 0.254365086555480957 S3= 0.254365086555480957 S1fracerr= 0.000000e+00
        8 terms, S1= 0.278304696083068848 S3= 0.278304636478424072 S1fracerr= 2.141705e-07
       16 terms, S1= 0.291930884122848511 S3= 0.291930764913558960 S1fracerr= 4.083477e-07
       32 terms, S1= 0.299219727516174316 S3= 0.299219667911529541 S1fracerr= 1.992002e-07
       64 terms, S1= 0.302992165088653564 S3= 0.302991807460784912 S1fracerr= 1.180321e-06
      128 terms, S1= 0.304911673069000244 S3= 0.304911047220230103 S1fracerr= 2.052558e-06
      256 terms, S1= 0.305880010128021240 S3= 0.305879116058349609 S1fracerr= 2.922942e-06
      512 terms, S1= 0.306366741657257080 S3= 0.306365281343460083 S1fracerr= 4.766554e-06
     1024 terms, S1= 0.306610882282257080 S3= 0.306608885526657104 S1fracerr= 6.512344e-06
     2048 terms, S1= 0.306735157966613770 S3= 0.306730270385742188 S1fracerr= 1.593421e-05
     4096 terms, S1= 0.306802511215209961 S3= 0.306800693273544312 S1fracerr= 5.925446e-06
     8192 terms, S1= 0.306863546371459961 S3= 0.306800693273544312 S1fracerr= 2.048243e-04
    16384 terms, S1= 0.306894063949584961 S3= 0.306800693273544312 S1fracerr= 3.042440e-04
    32768 terms, S1= 0.306909322738647461 S3= 0.306800693273544312 S1fracerr= 3.539464e-04
    65536 terms, S1= 0.306916952133178711 S3= 0.306800693273544312 S1fracerr= 3.787958e-04
   131072 terms, S1= 0.306920766830444336 S3= 0.306800693273544312 S1fracerr= 3.912200e-04
   262144 terms, S1= 0.306922674179077148 S3= 0.306800693273544312 S1fracerr= 3.974320e-04
   524288 terms, S1= 0.306923627853393555 S3= 0.306800693273544312 S1fracerr= 4.005380e-04
  1048576 terms, S1= 0.306924104690551758 S3= 0.306800693273544312 S1fracerr= 4.020910e-04
