Enter desired value of z
Enter number of terms 
        1 interation(s), series sum = 1.000000000000000000
        2 interation(s), series sum = -19.000000000000000000
        3 interation(s), series sum = 181.000000000000000000
        4 interation(s), series sum = -1152.333333333333257542
        5 interation(s), series sum = 5514.333333333333939663
        6 interation(s), series sum = -21152.333333333335758653
        7 interation(s), series sum = 67736.555555555562023073
        8 interation(s), series sum = -186231.698412698402535170
        9 interation(s), series sum = 448688.936507936508860439
       10 interation(s), series sum = -962245.807760141091421247
       11 interation(s), series sum = 1859623.680776014225557446
       12 interation(s), series sum = -3271048.116562450304627419
       13 interation(s), series sum = 5280071.545668322592973709
       14 interation(s), series sum = -7875497.165455944836139679
       15 interation(s), series sum = 10918172.863366968929767609
       16 interation(s), series sum = -14140052.428922194987535477
       17 interation(s), series sum = 17182729.186439257115125656
       18 interation(s), series sum = -19667604.733008954674005508
       19 interation(s), series sum = 21277210.303866270929574966
       20 interation(s), series sum = -21822592.335062179714441299
       21 interation(s), series sum = 21277211.521258447319269180
       22 interation(s), series sum = -19770222.047909226268529892
       23 interation(s), series sum = 17545625.775266144424676895
       24 interation(s), series sum = -14902936.577665466815233231
       25 interation(s), series sum = 12137533.619989641010761261
       26 interation(s), series sum = -9494842.035666558891534805
       27 interation(s), series sum = 7145446.739939134567975998
       28 interation(s), series sum = -5180693.386185433715581894
       29 interation(s), series sum = 3623692.009080125018954277
       30 interation(s), series sum = -2448298.165160045027732849
       31 interation(s), series sum = 1599695.358130517415702343
       32 interation(s), series sum = -1011913.348142989911139011
       33 interation(s), series sum = 620342.093277952400967479
       34 interation(s), series sum = -368903.574639004771597683
       35 interation(s), series sum = 213005.651776984217576683
       36 interation(s), series sum = 213005.651776984217576683
       37 interation(s), series sum = 213005.651776984217576683
       38 interation(s), series sum = 213005.651776984217576683
       39 interation(s), series sum = 213005.651776984217576683
       40 interation(s), series sum = 213005.651776984217576683
       41 interation(s), series sum = 213005.651776984217576683
       42 interation(s), series sum = 213005.651776984217576683
       43 interation(s), series sum = 213005.651776984217576683
       44 interation(s), series sum = 213005.651776984217576683
       45 interation(s), series sum = 213005.651776984217576683
       46 interation(s), series sum = 213005.651776984217576683
       47 interation(s), series sum = 213005.651776984217576683
       48 interation(s), series sum = 213005.651776984217576683
       49 interation(s), series sum = 213005.651776984217576683
       50 interation(s), series sum = 213005.651776984217576683
       51 interation(s), series sum = 213005.651776984217576683
       52 interation(s), series sum = 213005.651776984217576683
       53 interation(s), series sum = 213005.651776984217576683
       54 interation(s), series sum = 213005.651776984217576683
       55 interation(s), series sum = 213005.651776984217576683
       56 interation(s), series sum = 213005.651776984217576683
       57 interation(s), series sum = 213005.651776984217576683
       58 interation(s), series sum = 213005.651776984217576683
       59 interation(s), series sum = 213005.651776984217576683
       60 interation(s), series sum = 213005.651776984217576683
       61 interation(s), series sum = 213005.651776984217576683
       62 interation(s), series sum = 213005.651776984217576683
       63 interation(s), series sum = 213005.651776984217576683
       64 interation(s), series sum = 213005.651776984217576683
       65 interation(s), series sum = 213005.651776984217576683
       66 interation(s), series sum = 213005.651776984217576683
       67 interation(s), series sum = 213005.651776984217576683
       68 interation(s), series sum = 213005.651776984217576683
       69 interation(s), series sum = 213005.651776984217576683
       70 interation(s), series sum = 213005.651776984217576683
       71 interation(s), series sum = 213005.651776984217576683
       72 interation(s), series sum = 213005.651776984217576683
       73 interation(s), series sum = 213005.651776984217576683
       74 interation(s), series sum = 213005.651776984217576683
       75 interation(s), series sum = 213005.651776984217576683
       76 interation(s), series sum = 213005.651776984217576683
       77 interation(s), series sum = 213005.651776984217576683
       78 interation(s), series sum = 213005.651776984217576683
       79 interation(s), series sum = 213005.651776984217576683
       80 interation(s), series sum = 213005.651776984217576683
       81 interation(s), series sum = 213005.651776984217576683
       82 interation(s), series sum = 213005.651776984217576683
       83 interation(s), series sum = 213005.651776984217576683
       84 interation(s), series sum = 213005.651776984217576683
       85 interation(s), series sum = 213005.651776984217576683
       86 interation(s), series sum = 213005.651776984217576683
       87 interation(s), series sum = 213005.651776984217576683
       88 interation(s), series sum = 213005.651776984217576683
       89 interation(s), series sum = 213005.651776984217576683
       90 interation(s), series sum = 213005.651776984217576683
       91 interation(s), series sum = 213005.651776984217576683
       92 interation(s), series sum = 213005.651776984217576683
       93 interation(s), series sum = 213005.651776984217576683
       94 interation(s), series sum = 213005.651776984217576683
       95 interation(s), series sum = 213005.651776984217576683
       96 interation(s), series sum = 213005.651776984217576683
       97 interation(s), series sum = 213005.651776984217576683
       98 interation(s), series sum = 213005.651776984217576683
       99 interation(s), series sum = 213005.651776984217576683
      100 interation(s), series sum = 213005.651776984217576683
      101 interation(s), series sum = 213005.651776984217576683
      102 interation(s), series sum = 213005.651776984217576683
      103 interation(s), series sum = 213005.651776984217576683
      104 interation(s), series sum = 213005.651776984217576683
      105 interation(s), series sum = 213005.651776984217576683
      106 interation(s), series sum = 213005.651776984217576683
      107 interation(s), series sum = 213005.651776984217576683
      108 interation(s), series sum = 213005.651776984217576683
      109 interation(s), series sum = 213005.651776984217576683
      110 interation(s), series sum = 213005.651776984217576683
      111 interation(s), series sum = 213005.651776984217576683
      112 interation(s), series sum = 213005.651776984217576683
      113 interation(s), series sum = 213005.651776984217576683
      114 interation(s), series sum = 213005.651776984217576683
      115 interation(s), series sum = 213005.651776984217576683
      116 interation(s), series sum = 213005.651776984217576683
      117 interation(s), series sum = 213005.651776984217576683
      118 interation(s), series sum = 213005.651776984217576683
      119 interation(s), series sum = 213005.651776984217576683
      120 interation(s), series sum = 213005.651776984217576683
      121 interation(s), series sum = 213005.651776984217576683
      122 interation(s), series sum = 213005.651776984217576683
      123 interation(s), series sum = 213005.651776984217576683
      124 interation(s), series sum = 213005.651776984217576683
      125 interation(s), series sum = 213005.651776984217576683
      126 interation(s), series sum = 213005.651776984217576683
      127 interation(s), series sum = 213005.651776984217576683
      128 interation(s), series sum = 213005.651776984217576683
      129 interation(s), series sum = 213005.651776984217576683
      130 interation(s), series sum = 213005.651776984217576683
      131 interation(s), series sum = 213005.651776984217576683
      132 interation(s), series sum = 213005.651776984217576683
      133 interation(s), series sum = 213005.651776984217576683
      134 interation(s), series sum = 213005.651776984217576683
      135 interation(s), series sum = 213005.651776984217576683
      136 interation(s), series sum = 213005.651776984217576683
      137 interation(s), series sum = 213005.651776984217576683
      138 interation(s), series sum = 213005.651776984217576683
      139 interation(s), series sum = 213005.651776984217576683
      140 interation(s), series sum = 213005.651776984217576683
      141 interation(s), series sum = 213005.651776984217576683
      142 interation(s), series sum = 213005.651776984217576683
      143 interation(s), series sum = 213005.651776984217576683
      144 interation(s), series sum = 213005.651776984217576683
      145 interation(s), series sum = 213005.651776984217576683
      146 interation(s), series sum = 213005.651776984217576683
      147 interation(s), series sum = 213005.651776984217576683
      148 interation(s), series sum = 213005.651776984217576683
      149 interation(s), series sum = 213005.651776984217576683
      150 interation(s), series sum = 213005.651776984217576683
      151 interation(s), series sum = 213005.651776984217576683
      152 interation(s), series sum = 213005.651776984217576683
      153 interation(s), series sum = 213005.651776984217576683
      154 interation(s), series sum = 213005.651776984217576683
      155 interation(s), series sum = 213005.651776984217576683
      156 interation(s), series sum = 213005.651776984217576683
      157 interation(s), series sum = 213005.651776984217576683
      158 interation(s), series sum = 213005.651776984217576683
      159 interation(s), series sum = 213005.651776984217576683
      160 interation(s), series sum = 213005.651776984217576683
      161 interation(s), series sum = 213005.651776984217576683
      162 interation(s), series sum = 213005.651776984217576683
      163 interation(s), series sum = 213005.651776984217576683
      164 interation(s), series sum = 213005.651776984217576683
      165 interation(s), series sum = 213005.651776984217576683
      166 interation(s), series sum = 213005.651776984217576683
      167 interation(s), series sum = 213005.651776984217576683
      168 interation(s), series sum = 213005.651776984217576683
      169 interation(s), series sum = 213005.651776984217576683
      170 interation(s), series sum = 213005.651776984217576683
      171 interation(s), series sum = 213005.651776984217576683
