Enter desired value of z
Enter number of terms 
        1 interation(s), fractional error = 0.999999997938846419
        2 interation(s), fractional error = 1.000000039161918819
        3 interation(s), fractional error = 0.999999626931194374
        4 interation(s), fractional error = 1.000002375136024302
        5 interation(s), fractional error = 0.999988634111874664
        6 interation(s), fractional error = 1.000043598208472995
        7 interation(s), fractional error = 0.999860384553145076
        8 interation(s), fractional error = 1.000383852139796304
        9 interation(s), fractional error = 0.999075183173168568
       10 interation(s), fractional error = 1.001983336432341165
       11 interation(s), fractional error = 0.996167029913995972
       12 interation(s), fractional error = 1.006742132674623535
       13 interation(s), fractional error = 0.989116961406910966
       14 interation(s), fractional error = 1.016232609511084073
       15 interation(s), fractional error = 0.977495968452260833
       16 interation(s), fractional error = 1.029144820285344153
       17 interation(s), fractional error = 0.964583755493990003
       18 interation(s), fractional error = 1.040537954740131221
       19 interation(s), fractional error = 0.956144400906799086
       20 interation(s), fractional error = 1.044979715242413398
       21 interation(s), fractional error = 0.956144398397566708
       22 interation(s), fractional error = 1.040749464790462708
       23 interation(s), fractional error = 0.963835769875358794
       24 interation(s), fractional error = 1.030717241712027166
       25 interation(s), fractional error = 0.974982678611688636
       26 interation(s), fractional error = 1.019570328056295994
       27 interation(s), fractional error = 0.985272136568032586
       28 interation(s), fractional error = 1.010678204939679636
       29 interation(s), fractional error = 0.992531014088882890
       30 interation(s), fractional error = 1.005046318631929392
       31 interation(s), fractional error = 0.996702782117791175
       32 interation(s), fractional error = 1.002085708863118763
       33 interation(s), fractional error = 0.998721379647289020
       34 interation(s), fractional error = 1.000760366939197787
       35 interation(s), fractional error = 0.999560962629239991
       36 interation(s), fractional error = 0.999560962629239991
       37 interation(s), fractional error = 0.999560962629239991
       38 interation(s), fractional error = 0.999560962629239991
       39 interation(s), fractional error = 0.999560962629239991
       40 interation(s), fractional error = 0.999560962629239991
       41 interation(s), fractional error = 0.999560962629239991
       42 interation(s), fractional error = 0.999560962629239991
       43 interation(s), fractional error = 0.999560962629239991
       44 interation(s), fractional error = 0.999560962629239991
       45 interation(s), fractional error = 0.999560962629239991
